hour,start_ts,end_ts,twitter_density,inst_density,total
27,1440039601,1440043201,0.0,0.3009009118947509,0.3009009118947509
28,1440043201,1440046801,0.0,0.42887391662170055,0.42887391662170055
29,1440046801,1440050401,0.0,0.0,0.0
30,1440050401,1440054001,0.0,0.0,0.0
31,1440054001,1440057601,0.0,0.7901405067895787,0.7901405067895787
32,1440057601,1440061201,0.0,3.030325561780927,3.030325561780927
33,1440061201,1440064801,0.29325513196480935,1.1959578676490619,1.4892129996138712
34,1440064801,1440068401,-0.07045918883158521,0.2632917835911745,0.19283259475958928
35,1440068401,1440072001,0.0,0.8436399544725656,0.8436399544725656
36,1440072001,1440075601,0.8846906791108402,1.190000136386236,2.0746908154970765
37,1440075601,1440079201,0.7221269465023019,2.1579050226585905,2.8800319691608927
38,1440079201,1440082801,0.5369158032954262,2.0721316772880014,2.6090474805834276
39,1440082801,1440086401,0.0,0.0869880386858245,0.0869880386858245
40,1440086401,1440090001,0.7297654064159527,0.7497532575018117,1.4795186639177642
41,1440090001,1440093601,0.30089359187846015,2.527051356325642,2.8279449482041024
42,1440093601,1440097201,0.3673671639453248,0.8673782459263479,1.2347454098716726
43,1440097201,1440100801,0.744620078461099,1.8054054713685053,2.5500255498296043
44,1440100801,1440104401,0.29325513196480935,2.554004277459803,2.8472594094246126
45,1440104401,1440108001,0.6788579735386518,1.7091339557726948,2.3879919293113465
46,1440108001,1440111601,0.264359725971754,0.6191134079094303,0.8834731338811843
47,1440111601,1440115201,0.30089359187846015,0.5641926954859253,0.8650862873643853
48,1440115201,1440118801,0.0,0.2709375635211159,0.2709375635211159
49,1440118801,1440122401,0.3335921745252032,0.5097338964774717,0.8433260710026749
50,1440122401,1440126001,0.0,0.0,0.0
51,1440126001,1440129601,0.0,0.0,0.0
52,1440129601,1440133201,0.0,-0.08402014526155696,-0.08402014526155696
53,1440133201,1440136801,0.0,0.8717488202258643,0.8717488202258643
54,1440136801,1440140401,0.0,-0.29325513196480935,-0.29325513196480935
55,1440140401,1440144001,0.0,0.0,0.0
56,1440144001,1440147601,0.0,1.4346007967690177,1.4346007967690177
57,1440147601,1440151201,-0.29325513196480935,0.5865102639296187,0.29325513196480935
58,1440151201,1440154801,0.29325513196480935,0.42887391662170055,0.72212904858651
59,1440154801,1440158401,0.20754273381505892,0.07519836511028782,0.2827410989253467
60,1440158401,1440162001,0.44129496082147596,0.42887391662170055,0.8701688774431765
61,1440162001,1440165601,0.6872026701382234,0.14705275318065,0.8342554233188736
62,1440165601,1440169201,0.4417499129465509,1.254779345246806,1.6965292581933569
63,1440169201,1440172801,1.5294297762696483,1.060406970427765,2.589836746697413
64,1440172801,1440176401,0.0,0.6165266784646276,0.6165266784646276
65,1440176401,1440180001,0.554021166618888,0.29325513196480935,0.8472762985836972
66,1440180001,1440183601,0.4158345205926464,2.019218083658502,2.4350526042511484
67,1440183601,1440187201,1.1663154406072325,2.8727876542128525,4.039103094820085
68,1440187201,1440190801,-0.29325513196480935,1.0593314164722818,0.7660762845074724
69,1440190801,1440194401,1.1689960841775209,0.9806798188069902,2.149675902984511
70,1440194401,1440198001,0.0,0.6598951793397018,0.6598951793397018
71,1440198001,1440201601,0.4288718145374925,0.29325513196480935,0.7221269465023019
72,1440201601,1440205201,0.0,0.2632917835911745,0.2632917835911745
73,1440205201,1440208801,0.0,0.13561878465689117,0.13561878465689117
74,1440208801,1440212401,0.0,0.0,0.0
75,1440212401,1440216001,0.0,0.0,0.0
76,1440216001,1440219601,0.0,0.0,0.0
77,1440219601,1440223201,0.0,0.0,0.0
78,1440223201,1440226801,0.0,0.4589738727120932,0.4589738727120932
79,1440226801,1440230401,0.29325513196480935,0.0,0.29325513196480935
80,1440230401,1440234001,-0.37896753011455986,-0.29325513196480935,-0.6722226620793691
81,1440234001,1440237601,0.29325513196480935,0.29325513196480935,0.5865102639296187
82,1440237601,1440241201,0.0,1.102566561854502,1.102566561854502
83,1440241201,1440244801,0.0,0.7174611783824631,0.7174611783824631
84,1440244801,1440248401,1.1949130087532718,0.29325513196480935,1.4881681407180811
85,1440248401,1440252001,-0.29325513196480935,0.6420520807801509,0.34879694881534146
86,1440252001,1440255601,0.7394377371014721,0.7502742292894434,1.4897119663909153
87,1440255601,1440259201,0.20754273381505892,1.9380377289237427,2.1455804627388018
88,1440259201,1440262801,1.2047708104117045,1.023956694514019,2.2287275049257236
